{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.1368} 站住！什么人？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.5800} 你他妈以为自己要偷偷溜去哪儿，你这狗杂种？！
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.52695} 镇上有传言，说有人打算沿铁轨逃跑。然后你就在这里，鬼鬼祟祟。逮到你了！老实跟我们走——有间牢房写着你的名字。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.14979} 嘿、嘿，你们不能这么做！事情正好相反！
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.14703} 你们全弄错了，公民！我们才是被派到这里，阻止任何企图逃跑者的巡逻队。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.45038} 你们为什么躲着？这是埋伏吗？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.13498} 我们收到报告，说可能有人密谋逃跑。我们的命令是找到罪犯，在他们逃走前阻止他们。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.56738} 那边有一节锁住的车厢，里面还有人。他们也许已经死了，但我还是得告诉你们。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.2421} 什么人？少他妈胡扯！
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.6346} 够了，格里戈里。你去检查一下那节车厢吧？我对此有很坏的预感……
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.23828} 我去，但你小心，别让这家伙趁我不在打昏你——或者更糟，花言巧语把你哄了。我马上回来。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.28222} 我看起来像是经常和巡逻员打架的人吗？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.2716} 请别介意他。所有人都被恐惧逼疯了，正在丢掉人性。格里戈里不算坏——他只是叫得凶、逞强。可有些人……他们真的脱轨了。谁知道这会是瘟疫的主要症状？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.60197} 人在极端处境中会显露自己最坏的部分，这并不是什么秘密。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.34688} 你知道，我自己不是哲学家，但我邻居总说，这场瘟疫是对我们所有人的考验。病人也好，健康人也好。像是有人在检验我们的本性——看我们心里到底真是人，还是只会低吼的野兽。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.10174} 那太残酷了。人当然软弱。在难以承受的境地下，任何人都会变成野兽。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.52762} 嘿！嘿——！这狗杂种没撒谎！那节车厢里全是染瘟疫的尸体……这到底是怎么回事，嗯？这种血腥噩梦，我真说不出话！嘿，搭档，给我根烟？看完那东西我需要一根。也给他一根——得谢谢他把消息带来。也许我们还能救人？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.51848} 所以确实有人死了……我们必须立刻处理。要烟草吗？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.42002} 来一点也无妨。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.48166} 你们应该向上级报告。还要小心——那节车厢是另一个潜在感染源。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.46970} 这下你知道镇子的真实本性了：有人锁上了那节车厢，也有人冒险进了里面。甚至还给报信的人递了烟草。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.42664} 有人说，神不会给我们无法承受的考验……真是一派胡言。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.45562} 如果这是考验，小镇会挺过去。没有人不能克服的事。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.24589} 没关系，我明白。我也觉得……自己快疯了。也许是恐惧。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.27061} 彻底检查。无论他们是活是死，都必须找到。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.539} 情况如何？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.14888} 还算不错，毕竟我们刚抓住了第一个在外面乱跑的混蛋。待着别动，连抽搐都别抽，听见了吗？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.59020} 把手拿开！我不是要逃出小镇——是我自己走向你们的！
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.54329} 我想这倒是真的。可那你为什么在这里乱转，找些谁知道是什么的东西？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.40907} 你刚才叫我狗杂种？你知道我是谁吗？
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.25732} 当然知道。你那张大城市来的脸，我哪儿都认得。
{Dialogs2.Days.Day4.Day4_Q2_Escape.Day4_Q2_Patrol_Voluntarily.50185} 请原谅他的粗鲁。现在每个人都绷紧了。我们收到报告，说可能有人密谋逃跑。我们的命令是找到罪犯，在他们逃走前阻止他们。
