{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.48001} 钉子。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.27656} 什么？
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.35069} 把钉子递给我！在你身后那个箱子里。既然你非要贴着我脖子喘气，不如也贡献点东西。比如那些钉子。我发誓，每次我在这儿造梯子，看热闹的人都挡我的光。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.53772} 梯子？我还以为是绞刑架。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.43346} 你在做什么？
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.2358} 造梯子。看起来像什么？
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.18419} 老实说，看起来像绞刑架。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.9179} 没错。就是绞刑架。绞刑架不过是通向天空的梯子，你不知道吗？照审判官们的说法：你不能用它往下爬，只能往上——而且直接爬出自己的身体。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.21621} 审判官。他们装成哲学家，其实只是领了执照的屠夫。他们关心的只有把绞刑架造起来。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.43891} 你这话什么意思？你是说造绞刑架很容易？拿锤子敲敲打打，它就自己从木板里拼好了？所以在你看来，我只是在这儿瞎忙？你就是这么看我的？
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.51929} 什么？我不是……原谅我，我无意冒犯。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.47886} 我告诉你，造一座合格的绞刑架可是相当棘手的工程难题。还记得纸张叛乱吗？他们第一次根本没把人吊好。猜猜为什么！
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.34453} 你说得好像绞死人是什么善良又正义的事。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.51851} 这个嘛，那得看被绞的是什么人。至于我？我只负责技术层面。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.16061} 所以道德层面完全不关你的事？
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.46948} 我的工作是保证套上绞索的人尽可能少受痛苦。要是绞刑架胡乱拼起来，就会重演纸张兄弟会那档子事。他们吊那几个人吊了三次才成！那才是真正的屠宰。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.13859} 我想我该走了。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.13618} 你好像对自己的工作骄傲得很。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.34877} 我听说发明断头台的人就是被自己的机器处决的。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.25117} 我不知道。为什么？
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.2885} 绳子断了。断了两次。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.35703} 因为那绞刑架烂透了！
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.19615} 这你最清楚。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.53936} 正是你这种人在维持这些非人的做法。如果所有人都拒绝造绞刑架，审判官还怎么绞死别人？可你答应了。你喜欢敲敲打打。出于你对木头和工程的热爱。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.5809} 随你。我不打算挡你的路。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.53870} 你的幽默可真阴沉。
{Dialogs2.Days.Day7.Day7_Q14_InvitationToABeheading.Day7_Q14_Carpenter_Gallows.38714} 干这行自然会这样。要是我是面包师，我就会拿火葬开玩笑。
