{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.2980} 丹科夫斯基，朋友，见到你真叫我高兴！坐下！喝一杯吗？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.29840} 怎么一脸喜色？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.8630} 我为什么不该高兴？新的一天开始了，我还活着。我骗过了死神！
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.7259} 所以你是这么看的。骗过。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.15194} 你有没有哪天早上醒来，忽然明白自己昨天本该死，却没有死？就像命运撞上了一条岔路。前天夜里，在你劝我别喝那碗粥之后，我就有过这种感觉。我梦见自己已经死了，就站在这里，和你说话，指责你没能救我！可你救了我！多谢了，丹科夫斯基。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.633} 前天我也这样，在你劝我别碰那锅泔水之后。我梦见自己死了，就站在这里跟你说话，指责你没有救我！可你救了！谢谢你，丹科夫斯基。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.32746} 确实有意思。告诉我，这些“命运的岔路”——你是第一次感觉到吗？还是以前也有过？你碰过静水观星台的钟吗？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.9081} 嗯，昨天是第一次。可这和那座钟有什么关系？你今天怪得很，朋友。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.31350} 你常做那样的梦吗？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.15653} 不，其实昨晚是头一回。可为什么？你一听这话，倒像忽然来了劲。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.15562} 我想我很清楚你在说什么。最近，我像是一直活在这样的“岔路”里。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.908} 就是这种感觉。告诉我，丹科夫斯基，库兰怎么样？她还好吗？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.18056} 为什么问我？你自己也能去看她的情况。怎么，良心咬你了？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.26791} 你也算了解我。我没有良心。可库兰这事不一样。是我蠢到信了奥尔吉姆斯基，说实话，这等于给库兰判了死。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.1030} 你自己怎么想？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.1230} 是我的错。我真是个蠢货。我信了弗拉德，说实话，那就是她的死刑判决。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.17910} 你不必这样责备自己。你没有逼她喝那碗粥。每个人都该为自己的身体负责。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.30772} 你不明白。她本来不想接种。是我……到头来，是我逼她去的。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.11579} 而你自己没喝，决定再等等。想先拿她试试，对吧？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.17090} 不，根本不是那样。如果我不相信那疫苗有用，我绝不会给她。都是弗拉德，都是他的错！
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.22791} 过错不是我的专业。你和弗拉德自己去判定是谁杀了她，又为什么杀她。至于我，还有更要紧的事。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.20463} 这就走了？至少陪我喝一杯。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.11719} 抱歉，我工作时不喝酒。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.29339} 那就当给你上一课。先想清楚，再别干蠢事。省得以后又冒出更多“岔路”和怪梦。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.2325} 糟。糟透了。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.290} 真的一点办法也没有？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.7604} 我们正在做一切可能做的事。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.30500} 没有。她没救了。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.29602} 算了。忘了吧。我只是高兴还能看见你活着。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.5586} 对了，告诉我，丹科夫斯基，库兰怎么样？她还好吗？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.1382} 等等——你梦见自己成了影子？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.12883} 谁？没有，我说了：在梦里，我像是已经死了。其实很难解释。可你为什么问这个？你看起来，像是有点上火。没事吧？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.27390} 还活着，是吧？恭喜。在如今这情形下，这本身就算一项成就。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.26782} 确实还活着！而且我还要照这条路走下去。我现在活像撒马拉之约寓言里的那个仆人。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.274} 我看你并没有记清那个寓言。撒马拉之约说的正是死亡的不可逃避。仆人想逃离巴格达，却一头奔进了死神怀里。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.28069} 我们为什么干杯？
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.11526} 为我们还活着！还要什么别的理由？你知道吗，昨晚我得了一个启示。我忽然在梦里明白，自己前一天本可能丧命，可我没有。就像我的命运撞上了一条岔路，而我——姑且这么说——能感觉到它。我梦见自己已经死了，就站在这里，和你说话，指责你没能救我！可你救了我！多谢了，丹科夫斯基。
{ArchiveDialogs.NewArchive.Day5_Q4_AndreyDeath.Day5_Q4_Andrey_Thanks.9130} 我梦见自己死了，就站在这里跟你说话，指责你没有救我！可你救了！谢谢你，丹科夫斯基。
